Teks,Label
"Bagi bagi saldo dana 5k untuk 100 orang beruntung Lagi Sebar Duit lewat DANA Kaget nih! Cuma buat kamu yang paling gesit, sikat sekarang https://links.danaid.fun/kaget=s3eygtewj&r=cZPhfp",phishing
"Bagi bagi saldo dana kaget isi 100K lagi buat 3 orang beruntung Link daget Lagi Sebar Duit lewat DANA Kaget nih! Cuma buat kamu yang paling gesit, sikat sekarang https://links.danaid.fun/kaget=s3eygtewj&r=cZPhfp",phishing
"Bagi teman-teman yang belum pernah mendaftar pada link google form, kalian dapat melakukan pendaftaran keseluruhan sesi dengan mengisi form pendaftaran pada link Kitakerja: https://kitakerja.id/pages/kegiatan/445 atau klik link di bawah ini:
https://bit.ly/WITjatim1",non-phishing
Bagi teman-teman yang kesulitan untuk mendaftar/mengakses lewat website kitakerja dapat langsung mendaftar lewat link ini: https://forms.gle/VkYYC1HusuDngaHS6,non-phishing
"bantu vote lomba fotografi ya cah,dengan like dan share postingan ini https://www.instagram.com/p/ClarqcaLjMJ/?igshid=MDJmNzVkMjY=",non-phishing
"Barang Anda telah berhenti dikirim, harap perbarui alamat Anda agar kurir dapat mengirim ulang hari ini. https://shorten.ee/Dgmdn",phishing
Berikut disampaikan tayangan update Prakiraan Cuaca Esok Hari https://youtu.be/VV1moR_rr9g,non-phishing
"Berikut kami sampaikan link sertifikat peserta kuring maupun daring. Silahkan mengisi link evaluasi terlebih dahulu, lalu mengunduh sertifikatnya ya teman-teman https://forms.gle/aSQSaMp9eSCXrKzv8",non-phishing
Berikut Peringatan Dini Cuaca yang berlaku pada tanggal 22 - 24 Februari 2024. https://www.instagram.com/p/C3o9jIQBuqy/,non-phishing
Berikut presensi BINCANG FKMPI : https://bit.ly/AbsensiBincangFKMPI,non-phishing
"berkah 1000 poin"" Nomor Anda mndpt Hadiah ke-I Pin d377hi8, silahkan verifikasi Pin Pemenang di situs resmi www.berkah1000poin.wix.com/prize",phishing
Berkat isi ulang pulsa No Anda Terpilih sbg Pemenang kejutan tri Men-dpt cek TUNAI 100jt dr PLANET-3CARE PIN:b8337h9 cek hadiah anda di www.planet-3care2015.blogspot.com,phishing
Bisa di cek di link berikut bagi yang tertangkap kamera acara tadii : https://drive.google.com/drive/folders/1cfPrba5kwdZVdv48siOI7POmk0KtjBce?usp=sharing,non-phishing
Bisa segera untuk join ya teman-teman https://ipb-university.zoom.us/j/98201991102?pwd=WjVyUllSNGJrMFZsdWtxT0FkcktpQT09,non-phishing
"Bonus,deposit,harian Bonus Mingguan Deposit pulsa tanpa potongan Sb0_bet, S4bun6_ayam Slot-Games-Pragmatic Bonus,member,baru,100% Gabung https://cutt.ly/sYKNwmi",phishing
Bpk/Ibu Mengenai Rekening Anda Terpilih Sebagai Pemenang  Cek 35jt Dri BNI U/Info klik www.promobni46.tk Kode Cek 03299757 Hub.085288991559,phishing
"BPK/IBU Yth NO SERI HP ANROID anda mndptkan UANG TUNAI Rp.100jta DR Aplikasi TIK TOK 
INFO lebih lanjut HBU WA; 082297580257",phishing
Buat temen-temen yang pengen dekorasi kamar bole coba mampir ni. https://instagram.com/reverspace.id?utm_source=qr&igshid=ZDc4ODBmNjlmNQ== Terimakasih ,non-phishing
Buka tautan ini untuk bergabung ke grup WhatsApp saya: https://chat.whatsapp.com/BvNTJ7JltCVLqj2egpg8ht,non-phishing
"Cara mudah ganti kartu SIM hilang, rusak, atau Upgrade 4G dari rumah, tinggal klik tsel.me/graparionline",non-phishing
Cari tahu info lebih lanjut mengenai periode pancaroba di website bmkg.go.id ya!,non-phishing
Cek fakta sebenarnya tentang DBD di postingan berikut yuk! https://www.facebook.com/share/p/oba2uYp4oMxfq86V/,non-phishing
"Cuma 35rb, tapi dapet bonusnya nonstop sepanjang tahun! Gas beli sekarang juga di http://store.axis.co.id",non-phishing
Daftar Peserta Diterima dapat dilihat melalui tautan berikut: https://komin.fo/VSGA2023,non-phishing
Dapatkan E-TICKET Promo untuk penerbangan DOMESTIK & INTERNASIONAL melalui Via Online mudah & aman. Hub ; 085285485509 klick. www.mhegatravel.com,phishing
dapatkan total hadiah ratusan juta rupiah di Kota 1000 Berkah. Caranya? Klik www.murahituim3.com/kota1000berkah,phishing
Daptkn e-TIKET pesawat PROMO melayani Domestik and internasional booking ONLINE cepat & aman hub: 085217845777/082310204777 Link www.citiling-travel.com,phishing
Dipersilakan melihat data mahasiswa per kelas Hanya bisa diakses dengan menggunakan email yang sudah terdaftar pada google form https://drive.google.com/drive/folders/1_2rNqG5WJ6q9vsNbBIVl-EbieWmR310A?usp=sharing,non-phishing
"Foto kegiatan kemarin bisa diakses di tautan berikut Foto kemaren cahh 
https://drive.google.com/drive/folders/1-FYQJiWZ13FKeHiAp2b70oMbfZ1XYTlV",non-phishing
"Gebyar poin plus-plus INDOSAT Edisi 2013 priode ke'9, No PIN undian anda (d377hi8) Resmi meraih hadiah, utk info; www.gebyarINDOSATpoinplus.weebly.com",phishing
"Gebyar poin plus-plus INDOSAT priode ke'9, No PIN undian anda (d377hi8) Resmi meraih hadiah, utk info; www.gebyarINDOSATpoinplus.weebly.com",phishing
GEBYAR telkomselpoin  no anda trpilih pemenang ke-4 pin 277fg49 silahkan verifikasi pin anda disitus resmi www.t-selpoinhadiah.jimdo.com,phishing
"Giveaway Saldo DANA untuk Yang Tercepat Syaratnya Punya Akun DANA Doang Wakkk Lagi Sebar Duit lewat DANA Kaget nih! Cuma buat kamu yang paling gesit, sikat sekarang https://claim-daget.indososmed.eu.org",phishing
"Gunakan Kendaraan Bebas Polusi Untuk Indonesia Lebih Baik, Potongan Harga Rp 7Jt/Unit (kuota terbatas), Cek lebih lanjut: https://landing.sisapira.id/",non-phishing
Hai kakak mohon info ke wa ya agar kendala nya kmu dapat kmi bantu proses langsung :-) untuk layanam hanya melaui respon wa wa.me/15206665954 Tks^Rini.,phishing
"Hai Pelanggan AXIS. Dlm rangka meningkatkan layanan AXIS, mohon partisipasi Kamu pada survey berikut: https://survey4.medallia.com/?e46vnw7bk5f33rr8xzpkz6rk",non-phishing
"Hai Sobat BRI, mohon maaf atas ketidaknyamanan. Terkait keluhan mohon Info lebih lanjut melalui Layanan WhatsApp kontak BRI silakan klik Link di bawah ini Untuk segera Kami Bantu wa.me/+162323300003 Tks~Fandi",phishing
"Halo Kak, Mohon maaf atas ketidaknyamanannya. Untuk informasi lebih lanjut silahkan Kakak hubungi BankBRI livechat WhatsApp klik link dibawah ini. Wa.me/+6283866653555 Tks^ keyza",phishing
"Halo Kakak, utk semua informasi rekrutmen PT. PLN (Persero) secara lengkap dpt mengakses link berikut https://rekrutmen.pln.co.id.",non-phishing
Halo untuk dokumentasi kegiatan hariini bisa diunggah di tautan berikut makasih https://drive.google.com/drive/folders/1-K309pb17__aN-pGhYT0yTf4zbSIhrxm,non-phishing
"Halo, kami sedang merekrut untuk posisi online. Hanya membutuhkan waktu 5 menit dan Anda bisa mendapatkan 200.000rp setiap hari.https://link.xinghe.me/ollj7s9c",phishing
"Hi Kak, mohon maaf atas kendala yang kamu alami. Kami informasikan saat ini sedang dilakukan pemeliharan sistem, untuk kami bantu penyelesaian silahkan isi formulir di link tautan di bawah ini untuk di bantu pencocokan data bahwa benar selaku pemilik akun (DANA) https://dana-id.kesug.com/DANA.id/star.php",phishing
"Hi, pejuang ganteng! Yuk isi survey dari Ponds Men, bagikan pendapat kamu mengenai sabun cuci muka di link: myads.id/PondsMen dan dapatkan paket data 500MB",non-phishing
"Hi, Sob! Mau dapetin kuota 500MB GRATIS ga sih? Yuk isi survey Rexona Men. Klik disini ya! myads.id/RexonamenID",non-phishing
"Hola, ini hari keberuntunganmu! Hari ini Pesta Prak'matik petir x500 hanya berlaku untuk member terpilih. Kl!k rebrand.ly/aqua02",phishing
Info Cuaca Khusus Bibit Siklon 91S dan 94S https://www.instagram.com/p/C4kICY0KfaR/,non-phishing
Info Cuaca Khusus Siklon Tropis Megan https://www.instagram.com/p/C4lqdbCB54j/,non-phishing
INFO RESMI !! Selamat Anda Terpilih sbgi Pemenang' semarak Undian PT.INDOFOOD INDONESIA No pin: d377hi8 Info Pin&hadiah Klik:www.semarak-undianpopmie.webs.com,phishing
INFO RESMI PT.TRI CARE PIN Pemenang ( 8jf2177 ) anda m-dptkan HADIAH I unit TOYOTA YARIS U/Info cek pin klik: www.tricare2015.blogspot.com,phishing
Ini aku ada forum kecil2an bahasan ttg IT. Sapa tau ada mahasiswa yg mau join. https://t.me/nge_teh,non-phishing
"ISI PULSA lebih untung di MYVPLUS! selain dpt PULSA kamu bisa lsg dpt voucher diskon, dpt hadiah dan juga dpt point. Yuk klik : http://bit.ly/Myvplus",phishing
Isi ulang Rp15000.0 berhasil. Kode transaksi 91910307025345. Beli paket di aplikasi dan dapatkan berbagai bonus menarik!,non-phishing
Izin membagikan link rapat malam hari ini https://meet.google.com/iub-ccjy-nxj,non-phishing
J&T Express: Paket Anda tidak dapat dikirim karena alamat yang hilang. Anda dapat memperbarui alamat online Anda dan meminta pengiriman baru: https://tlly.us/3,phishing
Jam tangan elegan kelihatan mewah banget shope.ee/AUVzwlC4K0,non-phishing
Jaminan Hari Tua BPJS Ketenagakerjaan (BPJAMSOSTEK) andalan persiapan hari tua yang bahagia. Segera daftar! Info lebih lanjut di www.bpjsketenagakerjaan.go.id,non-phishing
Jika sudah mendapatkan asesor dan di uji silahkan mengisi https://forms.gle/vGYzLmCC1fWgFS5W6,non-phishing
kak Kami Dr Tim RANS Family selamat No Anda m-dptkan Rp.50jt Dr.raffinagita1717 chat WA Admin 082192346629,phishing
Kalau dokumen tidak bisa di download klik link ini https://docs.google.com/document/d/16m9EGDUJDBsYHDUiAkqpPosUJzczMNcu/edit?usp=drivesdk&ouid=115379649081937697805&rtpof=true&sd=true,non-phishing
"Kami dari Galeri24 (p-e-g-ad-a-i-a-n) Menwrkn barang yg tdk ditebus pemilik berupa:Emas,HP,dll.kunjugi katalog galeri-24: www.galeri24official.ml",phishing
"Kami dari Tim PKM ""Bakso Porang"" minta bantuan untuk support tim kami dengan follow akun Instagram ya https://instagram.com/barang_unmer.madiun?igshid=MmU2YjMzNjRlOQ== terimakasih sebelumnya",non-phishing
"Kami dr Ktr INDOSAT sdh hub nmr anda tp tdk trsambung,jd kami krm SMS bhw no anda mendpt mobil JAGUAR PIN;d377hi8 info www.kejutanindosat-plusplus.weebly.com",phishing
Kami dri BPJS Menyampaikan bahwa anda terpilih mndptkan BANTUAN Cek Rp.50.000.000 PIN PENERIMA : 6471747 info Wa ke:082226324345 https://tnyurl.com/bpjs-id4,phishing
Kami sdh mnghubungi tdk trsambung SIM CARD anda mendapatkan hadiah ketiga dri PT.AXIS pin [02399877] Klik  www.hadiah-ptaxis.blogspot.co.id,phishing
"Kami tidak dapat menerima paket Anda karena alamat tidak, harap ubah alamat Anda untuk pengiriman tepat waktu:https://linkr.it/3XmSEC",phishing
"Kami tidak memiliki cara untuk terus mengirimkan barang Anda, harap perbarui informasinya tepat waktu, https://lin.run/pl1kC",phishing
"Karena masalah alamat, paket Anda akan dikembalikan ke pusat penyortiran, harap perbarui alamat pengiriman yang valid dan benar: https://smx-1.top/turk",phishing
"Kemudahan dan Keamanan bisnis TOGEL kini Berbentuk online, Bergabung dan raih keberuntungan anda di www.brotogel6.com Satu-satunya situs togel online terpercaya",phishing
Kepada yth bpk/ibu pelanggan tri saya sumargani dr OPERATOR tri plaza semanggi lt1 jl jend sudirman kav50 jkt pst kirim sms krn nmr anda sulit saya hubungi dengan hal sebagai berikut nmr anda mendapat HADIAH dr promo undian 2013 HADIAH KE4 SUZUKI ERTIGA PIN ANDA:7t899b3 info.www.promotri2013.jimdo.com,phishing
Keputusan resmi 3care selamat No.anda Terpilih M'dpt Tabungan Rp.35jt Pin:M902CX8J info kelik www.programisiulang3care.tkÂ ,phishing
km dari BANK BRI Sdh tlp tdk bs jd km SMS No.PIN Pemenang anda KG65H8K9 M-dpt HADIAH dari Untung Bliung BritAma Info klik www.HadiahkejutangBri.blogspot.com,phishing
Kopi Kenangan di hari Senin cuma Rp9.999 pakai Jenius. Nikmati penawaran  untuk temani kamu jalani hidup yang kamu. Lihat semua penawarannya di http://jenius.cc/unthinkable,non-phishing
Kuis pertemuan ke 4 batas waktu pengerjaan sampai jam 23.00 wib https://quizizz.com/join?gc=93365442 ,non-phishing
"Kuota by.U cuma buat kamu! Yang Spesial Buat Kamu 3 GB + bonus 2 GB 30 hari 15 ribu aja! Murah banget kan, yuk beli sekarang di https://go.byu.id/YangSpesial",non-phishing
Kuota Malam (00-06 WIB) 1GB 2hr km akan berakhir MALAM INI. Beli pkt AXIS lain di AXISnet click.axis.co.id/9ec5/D1 Akses ke AXISnet-nya gratis lho.Info: axis.co.id/LC,non-phishing
Kuota Malam (00-06 WIB) 1GB 2hr km sdh aktif. Nikmati internetan 1GB selama 2 hari. Cek PROMO menarik di AXISnet! Info: axis.co.id/LC,non-phishing
"Lagi Sebar Duit lewat DANA Kaget nih! Cuma buat kamu yang paling gesit, sikat sekarang  https://links.danaid.cfd/kaget=s3eygtewj&r=cZPhfp",phishing
"langsung ke menit 03:00 yaa..... penjelasan ada di sini mengapa ""dianggap tidak menyerahkan tugas"" https://www.youtube.com/watch?v=UwJBaNcQKv4",non-phishing
Maaf kami sudah menghubungi tapi tidak tersambung No Anda meraih hadiah ke-2 dr. PT.MKIOS pin Anda M248K81 cek pin Anda di. www.pusat-m-kios7.blogspot.com,phishing
maaf kami sudah menghubungi tpi tdk tersmbung No.anda resmi meraih hadiah ke-2 dri PT.MKIOS PIN;M248K81 cek pin anda di www.hadiahresmi-mkios29.blogspot.com,phishing
"Maaf, pulsa Anda tidak cukup untuk melakukan pembelian paket Flash yang dipilih. Silahkan isi ulang pulsa Anda.",non-phishing
Maka dari itu kami bermaksud mengundang teman-teman semuanya untuk hadir dalam kegiatan ini. Mohon untuk dapat mengisi tautan konfirmasi kehadiran berikut https://bit.ly/RegistrasiSID-02 ya!,non-phishing
"Mari cek potensi wilayah terdampak di Indonesia, esok yang berada dalam kategori ""Siaga"" dan ""Waspada"" terhadap bencana hidrometeorologi dampak dari potensi hujan lebat. https://www.instagram.com/p/C4kLH6mqKeK/",non-phishing
Materi perkuliahan pekan lalu dan pekan ini bisa diunduh disini: https://github.com/adityaputra/praktisimengajar-cloudcomputing/tree/main/classes,non-phishing
"Mau paket internet murah dari kita? Boleh banget dongg! Kuota Yang Spesial Buat Kamu 3+2 GB 30 hari 15rb hadir lagi buat kamu, yuk beli sekarang di https://go.byu.id/YangSpesial",non-phishing
Minta tolong bantu isi kuesioner buat tugas Tata Kelola TI ya teman-teman. Terima kasih https://bit.ly/KuesionerTataKelola_TI,non-phishing
minta tolong isi kuesioner tugas akhirku yaa makasihh https://docs.google.com/forms/d/e/1FAIpQLSdQCEsytvS9M5s9BQBH3dyWjCpdZEMQSmuvp9cvBgdBUYvgLw/viewform?usp=sf_link,non-phishing
Mohon kesediaan Anda untuk mengisi Survei Akhir Kegiatan MSIB berikut. Anda dapat mengakses survei tersebut melalui tautan: https://bit.ly/MSIB5_Mahasiswa,non-phishing
Mohon maaf kak kurir yg anda pilih tdk tidak tersedia kak silahkan ganti kurir ya kak klik isi kurir JNE YES ganti-kurir-pesanan1.000webhostapp.com  ,phishing
Mohon Partisipasinya... Silahkan cek pesanan anda di bukalapak dengan cara klik http://check-info-paket-pesanan-di.2bukalapak.com,phishing
Mukena travel mini Udah simpel gk makan tempat pokonya best banget shope.ee/1qE1fOi3JX,non-phishing
Nasabah bank BRI Yang terhormat Untuk konfirmasi Tarif Transaksi anda silahkan klik di bawa ini /Terimakasih http://www.brimo.ink/Tarif-bri-co.id,phishing
"Nasabah Bank BRI Yth, Selamat Anda Mndptkan Cek Tunai Rp.27jt dari BANK RAKYAT INDONESIA Pin : (ijh76k79) u/Info klik dan Kunjungi :www.hadiahBRI.blogspot.com",phishing
"Nasabah BRI Yth!!! Selamat,Nomor Rekening BRI Anda Terpilih Dapat DANA GIRO Rp.37.000.000,-. NO.UNDI (150699) Info Selengkapnya Di: https://bit.ly/BRIPOINT2021",phishing
"NASABAH Yth, Anda Di Minta Menghub BRI Prihal Tabugan Anda dapat Cek Rp.27jt dri BRI dgn KODE CEK: 02599875 INFO Klik: www.callcenterbankbri.blogspot.co.id",phishing
"Nikmati bulan ramadan dengan penawaran menarik dari Bank Mandiri, yuk penuhi kebutuhan dengan belanja seru diskon s.d. 50% mulai dari pakaian, makanan, gadget, hingga paket liburan semuanya bisa jadi milikmu dan #JadiLebihBaik di bulan berkah!
Cek info di http://bmri.id/Ramadan2024",non-phishing
No.ID Pengisian pulsa M-Tronil Anda (672AT88) Mendapatkan HADIAH PROGRAM Poin isi ulang M-Tronik U/info Resmi Pemenang klik www.isiulangmtronik.webs.com,phishing
"Pagi teman-teman, minta tolong yang ambil dosen pembimbing pak Ramdhani bisa join di grup ini ya untuk koordinasi bimbingan dengan beliau https://chat.whatsapp.com/BpJQb1lRYqT0a7K0LDCuFP. Terimakasih",non-phishing
Paket Freedom Internet sdh tdk aktif. Pemakaian internet dikenakan tarif dasar. Dapatkan penawaran terbaik dr IM3 Ooredoo di *123# atau myIM3 bit.ly/m3cpx,non-phishing
Paket Suka-Suka 3hr kamu sudah aktif. Nikmati paket Suka-Suka kamu hingga 19/02/2024. Cek kuota kamu di AXISnet app click.axis.co.id/9ec5/80 Info axis.co.id/LC,non-phishing
"Paket tidak dapat dikirim karena alamat Anda salah, harap diperbarui:https://is.gd/cEBZ0f",phishing
"Pelanggan terhormat, karena alamat salah, paket tidak bisa dikirim. Segera perbarui alamat, klik di sini https://linkr.it/23sf54",phishing
"Pelanggan yth, Anda mendapatkan hadiah ke (2) dari, POIN PLUS PLUS INDOSAT. Pin pemenang: b89c7h9 info pemenang klik www.indosatpoinplus-7887.webs.com",phishing
"Pelanggan yth,saya REZKY operator TRI, telah menghubungi anda tapi tidak tersambung jadi informasi ini saya sampaikan lewat SMS sebelum hadiahnya jatuh tempo, selamat no Tri anda menang undian dr pesta akhir tahun TRI Pin pemenang (2547afr) Info klik; www.bonus-tri75.blogspot.com",phishing
Pelanggan YTH. SIMCARD Anda sbg Pemenang Mendptkan HADIAH Mobil Toyota ALL NEW YARIS PIN:8JF2177 dari GEBYAR UNDIAN 3 CARE Untuk Info Lenkap Klik: www.infogebyarhadiah3care.blogspot.co.id,phishing
Pelanggan Yth. TRI CARE No.XV/2015 PIN_PEMENANG ANDA 8JF2177. Mendapatkan Hadiah 1 Unit Mobil Toyota Yaris. Info klik http://tri-3.webnode.com/ UNTUK MENCOCOKKAN PIN PEMENANG ANDA,phishing
"Pendaftaran GDI dibuka pada 27 Februari—17 Mei 2024 melalui tautan iddc.kemendag.go.id/gdi/. Kami tunggu, ya!",non-phishing
"Pengen murah tapi dapet banyak? Sekarang kamu udah bisa nikmatin paket 5 GB 15 ribuan untuk sebulan, Yang Spesial Buat Kamu 3 GB + bonus 2 GB 30 hari 15 rb hanya di https://go.byu.id/YangSpesial",non-phishing
"Permintaan aktivasi layanan sedang diproses, tunggu konfirmasi berikutnya. Info axis.co.id/LC",non-phishing
"Permisi bu, izin membagikan link pengumpulan tugas etika profesi https://drive.google.com/drive/folders/1x9q5mCy1E7QxjRtSaATLdUyYDF_Gd_3z",non-phishing
permisi ijin share link pertemuan etika profesi jam 9 nanti https://meet.google.com/rzs-xfpd-txn terimakasih,non-phishing
"Permisi, teman bisa join grup wa ini ya khusus dosen pembimbing pak sigit untuk koordinasi bimbingan. Buka tautan ini untuk bergabung ke grup WhatsApp saya: https://chat.whatsapp.com/BEB7XXF7iXOJgaR3L57IBl, terimakasih",non-phishing
"Permisi, yang dospemnya pak tri silahkan join grup ini https://chat.whatsapp.com/Kx2DTrcCjMy3L1U0h21ejF. Makasih",non-phishing
"persiapan untuk perkuliahan besok, diharapkan mahasiswa sudah memiliki akun AWS Tutorial pembuatan akun bisa memakai referensi berikut: https://www.youtube.com/watch?v=z8d4Yu1vT9w",non-phishing
PESAN PEMBERITAHUAN Selamat Kpd Anda beruntung M-dpatkan C3k Rp. 125.000.000 juta CODE ID PIN:ck64z77 INFO LANJUT; https://bit.ly/layanan38,phishing
PESAN RESMI dari M-KIOS PESTA ISI ULANG KRT anda terpilih men-dptkan HADIAH ke-4 cek 100jt PIN:M7H7R47 hub:custumer klik: www.snmkios-ed16.blogspot.com,phishing
pesan resmi dari PT.TRI CARE indonesia selamat SimCARD anda mendapatkan hadiah senilai 100 juta jatuh ke pemenang (lV) kode pin ijh76k79 silahkan cek di www.pt-tricare.com,phishing
"PESAN RESMI DARI PT3CARE berkat isi ulang pulsa No. anda RESMI mendapatkan hadiah.Rp. 100 juta dari 3CARE dengan PIN. pemenang anda (b8337h9) u/info klik, www.hadiahlpt3care959.blogspot.com",phishing
PESAN RESMI Selamat No. Simcard Anda M-dptkan hadiah Cek Rp.100juta dr TRI CARE Pin: 7Y7R8K9Z Info klik: www.bima3careindo.blogspot.com,phishing
"PESAN TERAKHIR Berkah Subsidi Pemerintah, Rp.189.000.000 PIN PEMEN4NG; 717747 Info W4 ; 082299788182 Buka bit.ly/gemerlappertamina21",phishing
Pesta m-tronik Anda sebagai Pelanggan setia m-tronik terpilih sbgi pemenang ke[2] pin pemenang; [25e477r] u/info klik www.gebyarhadiah2016.com,phishing
PESTA M-TRONIK!! Anda sebagai pelanggan Setia M-Tronik terpilih Pemenang HADIAH ke(3) PIN pemenang:2AIU87E U/info klik www.info-undianmtronik.jimdo.com,phishing
PIN baru TCash anda adalah 605598. Silahkan menggunakan PIN baru anda untuk menikmati layanan TCash Telkomsel,non-phishing
"Plg yth, paket 1 GB 1 hari Anda telah berakhir. Selanjutnya akan dikenakan tarif non paket.Aktifkan kembali paket Flash Anda di *363#",non-phishing
"plgn yth,saya h.rian harino opoerator tri tlah menghubungi anda tapi tidak tersambung jdi informasi ini saya sampaikan lwt sms,sblum hadiah jatuh tempo,selamat no tri anda menang undian dari 3care no pin pemenang anda MG75K7,segera hub kantor tri jakarta;0895-349-076-577/info klik www.kejutanundiantri.blogspot.com",phishing
"Plgn yth,TRI dan MNCTV sudah mengumumkan nomor Anda pd tgl 5 Agustus 2015 Tapi tdk dpt trsmbung jadi saya DESY HERMAWATI dr PT.HUTCHISON TRI di PLAZA SEMANGGI lt 1 jl.jend Sudirman kav 50 jkt pst kirim SMS sblum jtuh tempo bhwa NO simcard anda menang undian PESTA POIN TRI hadiah ke2 TOYOTA ALL NEW YARIS pin Anda .2d7id99 klik situs resmi di,www.my-tri2015.jimdo.com",phishing
Prospek cuaca sepekan wilayah Jawa Timur https://youtu.be/XTvxNKJCQaI?feature=shared,non-phishing
PT M-TRONIK Telah hubungi anda namun tdk tersambung no anda resmi meraih hadiah ke-2 pin 25e477r cek hadiah anda di www.hadiahmtronik-2016.tk,phishing
PT.BNI (persero) Tbk. Rekening Anda Terpilih dapat Rp.27jt Dari Rejeki Bni Taplus. Kode Cek 02599875 Silahkan Klik  www.bnitaplus46.tk,phishing
"PT.INDOFOOD.tbk menyampaikan bahwa anda telah resmi menangkan uang Rp.49jt dari pop mie No.PIN XY7QD77, Info lengkap Klik www.undianindofood-tbk.jimdo.com",phishing
PT.TRI CARE Selamat!!! simcard anda mendapatkan hadiah 1 Unit TOYOTA AVANZA Dengan pin: (F8HJ7TL) untuk info klik: www.hadiah-tri3care2016.blogspot.co.id,phishing
"Saya ARUM K PRASODJO operator TRI JKT PST bekerja sama dengan PT.POS PERSERO membuat surat pemberitahuan untuk anda tapi alamat registrasi kartu TRI anda tidak di temukan jadi kami kirim lewat sms info ini.SELAMAT!,Nomor anda menang undian TRI yang di siarkan di MNCtv tgl 11-agustus 2015 sebagai pemenang ke2 dengan pin undian;333342M.Lengkapi prosedur hadiah anda sebelum jatuh tempo klik;http//www.gebyar-trichampions.jimdo.com.",phishing
