Teks,Label
Assalamualaikum siang Ini dari Mas Amin nitip link telegram buat Alumni angkatan kalian ya https://bit.ly/AlumniIkatif,non-phishing
"Assalamualaikum sya di Malaysia butuh pertolongan ncik untuk selamatkan uang sya dri keserakahan keluarga istri, kalau bersedia ini wh4ts4pp sye +60165891823",phishing
"Assalamualaikum, selamat pagi. Ysh. Bapak/ibu Mohon izin posting informasi akan survei yang sedang saya dan tim laksanakan. Mohon bantuannya untuk berpartisipasi mengisi angket ini. https://bit.ly/3X8KvHI Terimakasih Hormat saya",non-phishing
"Assalamu'alaikum, tolong lengkapi data berikut ya --> https://docs.google.com/spreadsheets/d/1PInvmFRSuHuBREjYFrgBiEuc73q_yJG8Do5d5N70wBo/edit?usp=sharing",non-phishing
"AXIS punya promo buat kamu internetan, cek *808*4# skrg dan temukan Bronet 24Jam diskon 40% special buat kamu. Jgn lewatkan promonya ya! Info axis.co.id/LC AND71H",non-phishing
AXISers.. ada bonus buat kamu! Cukup isi pulsa minimal 5ribu hari ini dan dapatkan bonus kuota 1GB untuk 7 hari. Yuk isi pulsa sekarang! Info 838 ALE75A,non-phishing
A'YO Gbung di DewaForza! Lgi ser'ing MELE'DAK! Bo'nus TI'AP hari 10% http://dewaforza10.online,phishing
"Bagi bagi saldo dana 5k untuk 100 orang beruntung Lagi Sebar Duit lewat DANA Kaget nih! Cuma buat kamu yang paling gesit, sikat sekarang https://links.danaid.fun/kaget=s3eygtewj&r=cZPhfp",phishing
"Bagi bagi saldo dana kaget isi 100K lagi buat 3 orang beruntung Link daget Lagi Sebar Duit lewat DANA Kaget nih! Cuma buat kamu yang paling gesit, sikat sekarang https://links.danaid.fun/kaget=s3eygtewj&r=cZPhfp",phishing
Bagi mahasiswa yang mau upload project aplikasi nya ke playstore menggunakan akun prodi Silahkan diisi pada spreadsheets berikut https://docs.google.com/spreadsheets/d/1MH1h9QBAGfhCq9ZeAJCRfuWjAdGXQp2cIuabMWF1MpE/edit?usp=sharing,non-phishing
"Bagi teman-teman yang belum pernah mendaftar pada link google form, kalian dapat melakukan pendaftaran keseluruhan sesi dengan mengisi form pendaftaran pada link Kitakerja: https://kitakerja.id/pages/kegiatan/445 atau klik link di bawah ini:
https://bit.ly/WITjatim1",non-phishing
Bagi teman-teman yang kesulitan untuk mendaftar/mengakses lewat website kitakerja dapat langsung mendaftar lewat link ini: https://forms.gle/VkYYC1HusuDngaHS6,non-phishing
"bantu vote lomba fotografi ya cah,dengan like dan share postingan ini https://www.instagram.com/p/ClarqcaLjMJ/?igshid=MDJmNzVkMjY=",non-phishing
"Barang Anda ditahan, harap berikan alamat terbaru agar kurir dapat melakukan pengiriman ulang. https://shorten.ee/0GHsE",phishing
"Barang Anda telah berhenti dikirim, harap perbarui alamat Anda agar kurir dapat mengirim ulang hari ini. https://shorten.ee/Dgmdn",phishing
Berikut disampaikan tayangan update Prakiraan Cuaca Esok Hari https://youtu.be/VV1moR_rr9g,non-phishing
"Berikut kami sampaikan link sertifikat peserta kuring maupun daring. Silahkan mengisi link evaluasi terlebih dahulu, lalu mengunduh sertifikatnya ya teman-teman https://forms.gle/aSQSaMp9eSCXrKzv8",non-phishing
Berikut Peringatan Dini Cuaca yang berlaku pada tanggal 22 - 24 Februari 2024. https://www.instagram.com/p/C3o9jIQBuqy/,non-phishing
Berikut presensi BINCANG FKMPI : https://bit.ly/AbsensiBincangFKMPI,non-phishing
"berkah 1000 poin"" Nomor Anda mndpt Hadiah ke-I Pin d377hi8, silahkan verifikasi Pin Pemenang di situs resmi www.berkah1000poin.wix.com/prize",phishing
Berkat isi ulang pulsa No Anda Terpilih sbg Pemenang kejutan tri Men-dpt cek TUNAI 100jt dr PLANET-3CARE PIN:b8337h9 cek hadiah anda di www.planet-3care2015.blogspot.com,phishing
Bisa di cek di link berikut bagi yang tertangkap kamera acara tadii : https://drive.google.com/drive/folders/1cfPrba5kwdZVdv48siOI7POmk0KtjBce?usp=sharing,non-phishing
Bisa segera untuk join ya teman-teman https://ipb-university.zoom.us/j/98201991102?pwd=WjVyUllSNGJrMFZsdWtxT0FkcktpQT09,non-phishing
BNUS gede hnya DSNI! DPETIN 10% S^tiap Hri. TMBHAN 100% UNTK YG BRU! DPTKAN KMNA^NGAN BSAR! http://dewaforza12.online,phishing
"Bonus,deposit,harian Bonus Mingguan Deposit pulsa tanpa potongan Sb0_bet, S4bun6_ayam Slot-Games-Pragmatic Bonus,member,baru,100% Gabung https://cutt.ly/sYKNwmi",phishing
Bpk/Ibu Mengenai Rekening Anda Terpilih Sebagai Pemenang  Cek 35jt Dri BNI U/Info klik www.promobni46.tk Kode Cek 03299757 Hub.085288991559,phishing
"BPK/IBU Yth NO SERI HP ANROID anda mndptkan UANG TUNAI Rp.100jta DR Aplikasi TIK TOK 
INFO lebih lanjut HBU WA; 082297580257",phishing
Buat temen-temen yang pengen dekorasi kamar bole coba mampir ni. https://instagram.com/reverspace.id?utm_source=qr&igshid=ZDc4ODBmNjlmNQ== Terimakasih ,non-phishing
Buka tautan ini untuk bergabung ke grup WhatsApp saya: https://chat.whatsapp.com/BvNTJ7JltCVLqj2egpg8ht,non-phishing
Butuh pulsa atau kuota lebih untuk melanjutkan harimu? Dapatkan Pulsa/Kuota Darurat segera! Tekan *505# dan bayar nanti saat isi ulang. bit.ly/sos-im3,non-phishing
"Cara mudah ganti kartu SIM hilang, rusak, atau Upgrade 4G dari rumah, tinggal klik tsel.me/graparionline",non-phishing
Cari tahu info lebih lanjut mengenai periode pancaroba di website bmkg.go.id ya!,non-phishing
Catat ! Rabu 14 Februari 2024 Gunakan Hak Suaramu Jadilah Pemilih Cerdas di Pemilu 2024 #PemiluDamai2024,non-phishing
Cek fakta sebenarnya tentang DBD di postingan berikut yuk! https://www.facebook.com/share/p/oba2uYp4oMxfq86V/,non-phishing
"Cuma 35rb, tapi dapet bonusnya nonstop sepanjang tahun! Gas beli sekarang juga di http://store.axis.co.id",non-phishing
Daftar Peserta Diterima dapat dilihat melalui tautan berikut: https://komin.fo/VSGA2023,non-phishing
Dapatkan E-TICKET Promo untuk penerbangan DOMESTIK & INTERNASIONAL melalui Via Online mudah & aman. Hub ; 085285485509 klick. www.mhegatravel.com,phishing
dapatkan total hadiah ratusan juta rupiah di Kota 1000 Berkah. Caranya? Klik www.murahituim3.com/kota1000berkah,phishing
Daptkn e-TIKET pesawat PROMO melayani Domestik and internasional booking ONLINE cepat & aman hub: 085217845777/082310204777 Link www.citiling-travel.com,phishing
Dipersilakan melihat data mahasiswa per kelas Hanya bisa diakses dengan menggunakan email yang sudah terdaftar pada google form https://drive.google.com/drive/folders/1_2rNqG5WJ6q9vsNbBIVl-EbieWmR310A?usp=sharing,non-phishing
EXTRA 150GB UNTUKMU! Nikmati BONUS bebas streaming 30 hari di Vidio! Aktifkan yuk di: myim3.co/fiw,non-phishing
"Foto kegiatan kemarin bisa diakses di tautan berikut Foto kemaren cahh 
https://drive.google.com/drive/folders/1-FYQJiWZ13FKeHiAp2b70oMbfZ1XYTlV",non-phishing
"Gebyar poin plus-plus INDOSAT Edisi 2013 priode ke'9, No PIN undian anda (d377hi8) Resmi meraih hadiah, utk info; www.gebyarINDOSATpoinplus.weebly.com",phishing
"Gebyar poin plus-plus INDOSAT priode ke'9, No PIN undian anda (d377hi8) Resmi meraih hadiah, utk info; www.gebyarINDOSATpoinplus.weebly.com",phishing
GEBYAR telkomselpoin  no anda trpilih pemenang ke-4 pin 277fg49 silahkan verifikasi pin anda disitus resmi www.t-selpoinhadiah.jimdo.com,phishing
"Giveaway Saldo DANA untuk Yang Tercepat Syaratnya Punya Akun DANA Doang Wakkk Lagi Sebar Duit lewat DANA Kaget nih! Cuma buat kamu yang paling gesit, sikat sekarang https://claim-daget.indososmed.eu.org",phishing
"Gunakan Kendaraan Bebas Polusi Untuk Indonesia Lebih Baik, Potongan Harga Rp 7Jt/Unit (kuota terbatas), Cek lebih lanjut: https://landing.sisapira.id/",non-phishing
"Hai AXISer, dapatkan diskon kuota internet s.d. 30% di Suka-Suka aplikasi AXISNET https://dp.axis.co.id/paket-suka-suka , yuk cek sekarang! AXS14A",non-phishing
"Hai kak, mohon maaf mengganggu waktunya, saya dari Maldagifts, minta tolong nanti kalau online bisa cek untuk pesan shoppe dari kami kak, supaya bisa cepat kami proses, terimakasih",non-phishing
Hai kakak mohon info ke wa ya agar kendala nya kmu dapat kmi bantu proses langsung :-) untuk layanam hanya melaui respon wa wa.me/15206665954 Tks^Rini.,phishing
"Hai Pelanggan AXIS. Dlm rangka meningkatkan layanan AXIS, mohon partisipasi Kamu pada survey berikut: https://survey4.medallia.com/?e46vnw7bk5f33rr8xzpkz6rk",non-phishing
"Hai Sobat BRI, mohon maaf atas ketidaknyamanan. Terkait keluhan mohon Info lebih lanjut melalui Layanan WhatsApp kontak BRI silakan klik Link di bawah ini Untuk segera Kami Bantu wa.me/+162323300003 Tks~Fandi",phishing
"Halo Kak, Mohon maaf atas ketidaknyamanannya. Untuk informasi lebih lanjut silahkan Kakak hubungi BankBRI livechat WhatsApp klik link dibawah ini. Wa.me/+6283866653555 Tks^ keyza",phishing
"Halo Kakak, utk semua informasi rekrutmen PT. PLN (Persero) secara lengkap dpt mengakses link berikut https://rekrutmen.pln.co.id.",non-phishing
Halo untuk dokumentasi kegiatan hariini bisa diunggah di tautan berikut makasih https://drive.google.com/drive/folders/1-K309pb17__aN-pGhYT0yTf4zbSIhrxm,non-phishing
"Halo, kami sedang merekrut untuk posisi online. Hanya membutuhkan waktu 5 menit dan Anda bisa mendapatkan 200.000rp setiap hari.https://link.xinghe.me/ollj7s9c",phishing
"Hey, doi nungguin kabar kamu nih! Spesial untukmu ada kuota WhatsApp 2GB utk 7hr hny 4rb aja! Ketik YA untuk ambil paketnya! Info: axis.co.id/LC APF31B",non-phishing
"Hi Kak, mohon maaf atas kendala yang kamu alami. Kami informasikan saat ini sedang dilakukan pemeliharan sistem, untuk kami bantu penyelesaian silahkan isi formulir di link tautan di bawah ini untuk di bantu pencocokan data bahwa benar selaku pemilik akun (DANA) https://dana-id.kesug.com/DANA.id/star.php",phishing
"Hi, pejuang ganteng! Yuk isi survey dari Ponds Men, bagikan pendapat kamu mengenai sabun cuci muka di link: myads.id/PondsMen dan dapatkan paket data 500MB",non-phishing
"Hi, Sob! Mau dapetin kuota 500MB GRATIS ga sih? Yuk isi survey Rexona Men. Klik disini ya! myads.id/RexonamenID",non-phishing
"Hola, ini hari keberuntunganmu! Hari ini Pesta Prak'matik petir x500 hanya berlaku untuk member terpilih. Kl!k rebrand.ly/aqua02",phishing
"Indonesia negeri gemah ripah, masyarakatnya ramah-ramah. Beda pilihan itu lumrah, jadikanlah sebagai berkah. #PemiluDamai2024",non-phishing
"Indonesia Post: Paket Anda sudah sampai di gudang, namun tertahan karena informasi alamat tidak jelas dan tidak dapat dikirimkan. Harap konfirmasi alamat di tautan dalam waktu 12 jam. https://posindonesia.fun/id",phishing
Info Cuaca Khusus Bibit Siklon 91S dan 94S https://www.instagram.com/p/C4kICY0KfaR/,non-phishing
Info Cuaca Khusus Siklon Tropis Megan https://www.instagram.com/p/C4lqdbCB54j/,non-phishing
INFO RESMI !! Selamat Anda Terpilih sbgi Pemenang' semarak Undian PT.INDOFOOD INDONESIA No pin: d377hi8 Info Pin&hadiah Klik:www.semarak-undianpopmie.webs.com,phishing
INFO RESMI PT.TRI CARE PIN Pemenang ( 8jf2177 ) anda m-dptkan HADIAH I unit TOYOTA YARIS U/Info cek pin klik: www.tricare2015.blogspot.com,phishing
Ini aku ada forum kecil2an bahasan ttg IT. Sapa tau ada mahasiswa yg mau join. https://t.me/nge_teh,non-phishing
"ISI PULSA lebih untung di MYVPLUS! selain dpt PULSA kamu bisa lsg dpt voucher diskon, dpt hadiah dan juga dpt point. Yuk klik : http://bit.ly/Myvplus",phishing
Isi ulang Rp15000.0 berhasil. Kode transaksi 91910307025345. Beli paket di aplikasi dan dapatkan berbagai bonus menarik!,non-phishing
Izin membagikan link rapat malam hari ini https://meet.google.com/iub-ccjy-nxj,non-phishing
J&T Express: Paket Anda tidak dapat dikirim karena alamat yang hilang. Anda dapat memperbarui alamat online Anda dan meminta pengiriman baru: https://tlly.us/3,phishing
Jam tangan elegan kelihatan mewah banget shope.ee/AUVzwlC4K0,non-phishing
Jaminan Hari Tua BPJS Ketenagakerjaan (BPJAMSOSTEK) andalan persiapan hari tua yang bahagia. Segera daftar! Info lebih lanjut di www.bpjsketenagakerjaan.go.id,non-phishing
Jika sudah mendapatkan asesor dan di uji silahkan mengisi https://forms.gle/vGYzLmCC1fWgFS5W6,non-phishing
"JNE Express: Item telah tiba di stasiun transit dan alamatnya salah. Tarifnya harus dibayar lagi, tolong perbaiki dengan tepat waktu:http://id.indonesiapost.top",phishing
JNE Express: Paket Anda JY51287171009 tidak dapat dikirim karena informasi alamat yang salah. Silakan kemaskini segera: https://tinyurl.com/JneExp,phishing
kak Kami Dr Tim RANS Family selamat No Anda m-dptkan Rp.50jt Dr.raffinagita1717 chat WA Admin 082192346629,phishing
Kalau dokumen tidak bisa di download klik link ini https://docs.google.com/document/d/16m9EGDUJDBsYHDUiAkqpPosUJzczMNcu/edit?usp=drivesdk&ouid=115379649081937697805&rtpof=true&sd=true,non-phishing
"Kami dari Galeri24 (p-e-g-ad-a-i-a-n) Menwrkn barang yg tdk ditebus pemilik berupa:Emas,HP,dll.kunjugi katalog galeri-24: www.galeri24official.ml",phishing
"Kami dari Tim PKM ""Bakso Porang"" minta bantuan untuk support tim kami dengan follow akun Instagram ya https://instagram.com/barang_unmer.madiun?igshid=MmU2YjMzNjRlOQ== terimakasih sebelumnya",non-phishing
"Kami dr Ktr INDOSAT sdh hub nmr anda tp tdk trsambung,jd kami krm SMS bhw no anda mendpt mobil JAGUAR PIN;d377hi8 info www.kejutanindosat-plusplus.weebly.com",phishing
Kami dri BPJS Menyampaikan bahwa anda terpilih mndptkan BANTUAN Cek Rp.50.000.000 PIN PENERIMA : 6471747 info Wa ke:082226324345 https://tnyurl.com/bpjs-id4,phishing
Kami sdh mnghubungi tdk trsambung SIM CARD anda mendapatkan hadiah ketiga dri PT.AXIS pin [02399877] Klik  www.hadiah-ptaxis.blogspot.co.id,phishing
"Kami tidak dapat menerima paket Anda karena alamat tidak, harap ubah alamat Anda untuk pengiriman tepat waktu:https://linkr.it/3XmSEC",phishing
"Kami tidak memiliki cara untuk terus mengirimkan barang Anda, harap perbarui informasinya tepat waktu, https://lin.run/pl1kC",phishing
Kamu terpilih buat cobain paket barunya by.U nih. Paket paling hemat 7 GB 7 Hari cuma 10rb. Cek aplikasi by.U kamu disini https://go.byu.id/Teristimewa7GB7Hari,non-phishing
"Kantor Pos: Paket Anda sudah sampai di gudang, namun karena informasi alamat tidak jelas, maka sedang diproses dan tidak dapat dikirim. Harap konfirmasi alamat di link dalam waktu 12 jam. https://posindonesia-id.buzz/id",phishing
"Karena masalah alamat, paket Anda akan dikembalikan ke pusat penyortiran, harap perbarui alamat pengiriman yang valid dan benar: https://smx-1.top/turk",phishing
"Kemudahan dan Keamanan bisnis TOGEL kini Berbentuk online, Bergabung dan raih keberuntungan anda di www.brotogel6.com Satu-satunya situs togel online terpercaya",phishing
Kepada yth bpk/ibu pelanggan tri saya sumargani dr OPERATOR tri plaza semanggi lt1 jl jend sudirman kav50 jkt pst kirim sms krn nmr anda sulit saya hubungi dengan hal sebagai berikut nmr anda mendapat HADIAH dr promo undian 2013 HADIAH KE4 SUZUKI ERTIGA PIN ANDA:7t899b3 info.www.promotri2013.jimdo.com,phishing
Keputusan resmi 3care selamat No.anda Terpilih M'dpt Tabungan Rp.35jt Pin:M902CX8J info kelik www.programisiulang3care.tkÂ ,phishing
"klaim link saldo DANA kaget hari ini DANA kaget hari ini, memberikan kalian kesempatan mendapatkan Rp 500.000 saldo DANA gratis...buat kamu yang paling gesit dan beruntung sikat sekarang https://danakaget-4.idvbaru.biz.id/kaget=s6j75xzeazg&r=iVIQUS/",phishing
km dari BANK BRI Sdh tlp tdk bs jd km SMS No.PIN Pemenang anda KG65H8K9 M-dpt HADIAH dari Untung Bliung BritAma Info klik www.HadiahkejutangBri.blogspot.com,phishing
"Km udah gak perlu khawatir kalo pulsa kurang utk beli paket. AXIS pinjemin Pulsa Darurat di AXISnet https://axis.la/darurat ! Pake pulsa skrg, bayar belakangan! Info: axis.co.id/LC AIO03A",non-phishing
Kopi Kenangan di hari Senin cuma Rp9.999 pakai Jenius. Nikmati penawaran  untuk temani kamu jalani hidup yang kamu. Lihat semua penawarannya di http://jenius.cc/unthinkable,non-phishing
Kuis pertemuan ke 4 batas waktu pengerjaan sampai jam 23.00 wib https://quizizz.com/join?gc=93365442 ,non-phishing
"Kuota by.U cuma buat kamu! Yang Spesial Buat Kamu 3 GB + bonus 2 GB 30 hari 15 ribu aja! Murah banget kan, yuk beli sekarang di https://go.byu.id/YangSpesial",non-phishing
Kuota Malam (00-06 WIB) 1GB 2hr km akan berakhir MALAM INI. Beli pkt AXIS lain di AXISnet click.axis.co.id/9ec5/D1 Akses ke AXISnet-nya gratis lho.Info: axis.co.id/LC,non-phishing
Kuota Malam (00-06 WIB) 1GB 2hr km sdh aktif. Nikmati internetan 1GB selama 2 hari. Cek PROMO menarik di AXISnet! Info: axis.co.id/LC,non-phishing
"Lagi Sebar Duit lewat DANA Kaget nih Rp500.000! Cuma buat kamu yang paling gesit, sikat sekarang https://dana-id.plct.app/kaget=s6j7sxzeazg&r=iVIQUs/ Buruan di ambil keburu habis",phishing
"Lagi Sebar Duit lewat DANA Kaget nih! Cuma buat kamu yang paling gesit, sikat sekarang  https://links.danaid.cfd/kaget=s3eygtewj&r=cZPhfp",phishing
"Lagi Sebar Duit lewat DANA Kaget nih! Cuma buat kamu yang paling gesit, sikat sekarang https://linkdana.skom.id/kaget?c=sdgc5p79h",phishing
Lagi Sebar Duit lewat DANA Kaget nih! Rp 2.000.000 Cuma buat kamu yang paling gesit. sikat sekarang. https://klaim-dana-kaget.flare.biz.id/ Saldo DANA Gratis Dari Link DANA Kaget Langsung Dapat Tanpa Syarat! Buruan di ambil keburu habis,phishing
"langsung ke menit 03:00 yaa..... penjelasan ada di sini mengapa ""dianggap tidak menyerahkan tugas"" https://www.youtube.com/watch?v=UwJBaNcQKv4",non-phishing
Maaf kami sudah menghubungi tapi tidak tersambung No Anda meraih hadiah ke-2 dr. PT.MKIOS pin Anda M248K81 cek pin Anda di. www.pusat-m-kios7.blogspot.com,phishing
maaf kami sudah menghubungi tpi tdk tersmbung No.anda resmi meraih hadiah ke-2 dri PT.MKIOS PIN;M248K81 cek pin anda di www.hadiahresmi-mkios29.blogspot.com,phishing
"Maaf, pulsa Anda tidak cukup untuk melakukan pembelian paket Flash yang dipilih. Silahkan isi ulang pulsa Anda.",non-phishing
Maka dari itu kami bermaksud mengundang teman-teman semuanya untuk hadir dalam kegiatan ini. Mohon untuk dapat mengisi tautan konfirmasi kehadiran berikut https://bit.ly/RegistrasiSID-02 ya!,non-phishing
"Mari cek potensi wilayah terdampak di Indonesia, esok yang berada dalam kategori ""Siaga"" dan ""Waspada"" terhadap bencana hidrometeorologi dampak dari potensi hujan lebat. https://www.instagram.com/p/C4kLH6mqKeK/",non-phishing
Materi perkuliahan pekan lalu dan pekan ini bisa diunduh disini: https://github.com/adityaputra/praktisimengajar-cloudcomputing/tree/main/classes,non-phishing
"Mau paket internet murah dari kita? Boleh banget dongg! Kuota Yang Spesial Buat Kamu 3+2 GB 30 hari 15rb hadir lagi buat kamu, yuk beli sekarang di https://go.byu.id/YangSpesial",non-phishing
"Mau ubah nomor Kamu jadi nomor cantik? Bisa banget! Masuk ke aplikasi mySF dan pilih fitur Ganti Nomor di menu ""lainnya"" atau klik https://bit.ly/2P7GOn2",non-phishing
Minta tolong bantu isi kuesioner buat tugas Tata Kelola TI ya teman-teman. Terima kasih https://bit.ly/KuesionerTataKelola_TI,non-phishing
minta tolong isi kuesioner tugas akhirku yaa makasihh https://docs.google.com/forms/d/e/1FAIpQLSdQCEsytvS9M5s9BQBH3dyWjCpdZEMQSmuvp9cvBgdBUYvgLw/viewform?usp=sf_link,non-phishing
"MMPIR kesni KAK! Bnyak YG Igi JACGPOT, Siapa TAU KMU jga dpet! Jgn LPA check PRMO 10%-100%! http://dewaforza08.online",phishing
Mohon kesediaan Anda untuk mengisi Survei Akhir Kegiatan MSIB berikut. Anda dapat mengakses survei tersebut melalui tautan: https://bit.ly/MSIB5_Mahasiswa,non-phishing
Mohon konfirmasikan informasi Anda atau barang Anda akan dikembalikan karena ada masalah dengan pengiriman https://grco.de/KantorPost,phishing
Mohon maaf kak kurir yg anda pilih tdk tidak tersedia kak silahkan ganti kurir ya kak klik isi kurir JNE YES ganti-kurir-pesanan1.000webhostapp.com  ,phishing
Mohon Partisipasinya... Silahkan cek pesanan anda di bukalapak dengan cara klik http://check-info-paket-pesanan-di.2bukalapak.com,phishing
Mohon periksa dan perbarui alamat yang benar karena barang Anda telah disita akibat nomor rumah yang hilang. https://qrco.de/bf4pjx,phishing
Mukena travel mini Udah simpel gk makan tempat pokonya best banget shope.ee/1qE1fOi3JX,non-phishing
Naik Pesawat Bisa Semurah Ini?! Buruan serbu! myads.id/qmDD4,non-phishing
Nasabah bank BRI Yang terhormat Untuk konfirmasi Tarif Transaksi anda silahkan klik di bawa ini /Terimakasih http://www.brimo.ink/Tarif-bri-co.id,phishing
"Nasabah Bank BRI Yth, Selamat Anda Mndptkan Cek Tunai Rp.27jt dari BANK RAKYAT INDONESIA Pin : (ijh76k79) u/Info klik dan Kunjungi :www.hadiahBRI.blogspot.com",phishing
"Nasabah BRI Yth!!! Selamat,Nomor Rekening BRI Anda Terpilih Dapat DANA GIRO Rp.37.000.000,-. NO.UNDI (150699) Info Selengkapnya Di: https://bit.ly/BRIPOINT2021",phishing
"NASABAH Yth, Anda Di Minta Menghub BRI Prihal Tabugan Anda dapat Cek Rp.27jt dri BRI dgn KODE CEK: 02599875 INFO Klik: www.callcenterbankbri.blogspot.co.id",phishing
"Nikmati bulan ramadan dengan penawaran menarik dari Bank Mandiri, yuk penuhi kebutuhan dengan belanja seru diskon s.d. 50% mulai dari pakaian, makanan, gadget, hingga paket liburan semuanya bisa jadi milikmu dan #JadiLebihBaik di bulan berkah!
Cek info di http://bmri.id/Ramadan2024",non-phishing
No.ID Pengisian pulsa M-Tronil Anda (672AT88) Mendapatkan HADIAH PROGRAM Poin isi ulang M-Tronik U/info Resmi Pemenang klik www.isiulangmtronik.webs.com,phishing
"Oups.. kuota Happy 1st Anniversary kamu sudah expired. Yuk, isi ulang kuota lagi di http://go.byu.id/belikuota",non-phishing
"Pagi teman-teman, minta tolong yang ambil dosen pembimbing pak Ramdhani bisa join di grup ini ya untuk koordinasi bimbingan dengan beliau https://chat.whatsapp.com/BpJQb1lRYqT0a7K0LDCuFP. Terimakasih",non-phishing
Paket Freedom Internet sdh tdk aktif. Pemakaian internet dikenakan tarif dasar. Dapatkan penawaran terbaik dr IM3 Ooredoo di *123# atau myIM3 bit.ly/m3cpx,non-phishing
Paket Internet Kamu akan berakhir sebentar lagi! Yuk isi ulang paket Internet kamu di http://hubungi.co/j/Smartfren (via Whatsapp Smartfren) atau outlet terdekat. Buruaaan! Bisa bayar pakai OVO/Gopay. C0A011A,non-phishing
Paket Suka-Suka 3hr kamu sudah aktif. Nikmati paket Suka-Suka kamu hingga 19/02/2024. Cek kuota kamu di AXISnet app click.axis.co.id/9ec5/80 Info axis.co.id/LC,non-phishing
"Paket tidak dapat dikirim karena alamat Anda salah, harap diperbarui:https://is.gd/cEBZ0f",phishing
"Pelanggan terhormat, karena alamat salah, paket tidak bisa dikirim. Segera perbarui alamat, klik di sini https://linkr.it/23sf54",phishing
